"","x"
"1",-1.96349788462315
"2",-2.55769737385725
"3",-1.31048552225811
"4",-1.13231011273679
"5",-2.3461947571077
"6",-2.21970432536549
"7",-1.88049817090999
"8",-2.34107490512575
"9",-2.03665135305353
"10",-1.4627224146578
"11",-2.15090298610232
"12",-2.15921766919307
"13",-2.11866420412222
"14",-1.91015322745499
"15",-1.26004964036348
"16",-2.06054533015356
"17",-2.02557377766806
"18",-1.7037316554972
"19",-2.4834316618555
"20",-1.37584371681505
"21",-1.34395056211587
"22",-1.33175112415973
"23",-1.875612104607
"24",-1.81119940288479
"25",-1.56193003709871
"26",-1.59450354039809
"27",-2.44131190137164
"28",-2.29884960264562
"29",-2.42890455429707
"30",-1.71769576496735
"31",-2.10478371952746
"32",-1.50049070825218
"33",-1.65270797799868
"34",-2.50151968691456
"35",-1.73277724000431
"36",-0.806751342027852
"37",-2.14190055636482
"38",-2.30696750955648
"39",-2.88545119169692
"40",-2.30107805414393
"41",-1.76271189397109
"42",-1.54464742292187
"43",-2.12493929498066
"44",-2.21797935477837
"45",-2.82881015967209
"46",-1.13303392547337
"47",-2.12977387933607
"48",-1.78055795974201
"49",-2.30037430940721
"50",-1.64095343819067
"51",-1.30260989842381
"52",-2.10115635108978
"53",-2.39801723299202
"54",-2.61293917524811
"55",-1.30330924535116
"56",-1.78270008170976
"57",-2.61235858916926
"58",-1.82483750148217
"59",-2.10276260475648
"60",-1.92107189581468
"61",-1.76801928753368
"62",-2.73826662323298
"63",-1.84401395205347
"64",-2.02856359835253
"65",-1.46649590696734
"66",-1.09664635177663
"67",-2.3466785261289
"68",-2.18008280886182
"69",-2.00614909946205
"70",-2.2337413014357
"71",-2.25044670868621
"72",-1.89766806660618
"73",-2.21466897825104
"74",-3.0513697715446
"75",-1.85065883358007
"76",-1.86907114183022
"77",-1.77265546250062
"78",-1.78840259690289
"79",-2.20016569847038
"80",-1.0553330900354
"81",-1.73577656714442
"82",-2.21984861343604
"83",-1.5045166513646
"84",-1.96333969391849
"85",-2.89132784381241
"86",-2.12217075906788
"87",-1.80736895547069
"88",-2.19263163243685
"89",-0.81896630746193
"90",-2.25109343857174
"91",-2.429471091996
"92",-1.81841634748617
"93",-1.60777810734128
"94",-1.5177005904219
"95",-0.823713614605881
"96",-1.89479538111939
"97",-2.35201006091427
"98",-1.94166381136387
"99",-2.77789947317701
"100",-2.06309027325859
"101",-2.33463439269223
"102",-2.46147283068146
"103",-1.23324933319704
"104",-1.91624070570829
"105",-1.67210251398269
"106",-2.44172606581116
"107",-2.34046642621654
"108",-2.44773848405017
"109",-1.10716280677071
"110",-1.9383597542279
"111",-2.56359435521454
"112",-1.83444295294704
"113",-2.13038316552124
"114",-2.2480099666579
"115",-0.874408790323964
"116",-2.42954898888083
"117",-1.15116775632676
"118",-2.42481386114783
"119",-2.20917848414984
"120",-2.06810323809577
"121",-1.23739403972239
"122",-0.866924899252225
"123",-1.2924314962041
"124",-2.61310718155602
"125",-1.99451548202226
"126",-2.54821034757689
"127",-1.2748863581957
"128",-1.99800817712922
"129",-1.50962365864067
"130",-1.6570214882469
"131",-1.60916261295444
"132",-2.05542955998723
"133",-1.9112520079229
"134",-2.76263823807651
"135",-2.69157576328916
"136",-2.15297191069493
"137",-2.14906462345046
"138",-2.80599352347364
"139",-1.7858927124496
"140",-2.0673178814694
"141",-1.86753784196959
"142",-1.8581139014345
"143",-1.76595886004553
"144",-1.90542917135286
"145",-1.28003372038948
"146",-2.26529763040174
"147",-2.53201493535997
"148",-2.27385592439781
"149",-1.59878731382511
"150",-1.90504203995038
"151",-1.87691013434543
"152",-1.97722321981979
"153",-0.989883405507178
"154",-2.63925876026412
"155",-2.12782033453643
"156",-1.38747281453937
"157",-2.91895993472009
"158",-1.54042094987676
"159",-1.65502571898722
"160",-1.70686355426317
"161",-2.87576158399157
"162",-1.45590847276331
"163",-1.9961583714168
"164",-1.86094110827418
"165",-1.46368506762602
"166",-2.60627290284889
"167",-1.96259511409883
"168",-2.53855551995497
"169",-2.1092117456323
"170",-1.60069721832866
